GROUP-ID,UID,GROUP-TYPE,GROUP-NAME,LEAD-RSC-NAME,NUM-SCHLS,NUM-PUPS,APS,PERC-DISADV,PERC-SEN,PERC-EAL,NUM-SCHLS-PROG-TOTAL,NUM-SCHLS-PROG-CONVTR,NUM-SCHLS-PROG-SPONSRD,NUM-SCHLS-PROG-FREE-UTC-STUD,NUM-SCHLS-PROG-OPEN-1-YRS,NUM-SCHLS-PROG-OPEN-2-YRS,NUM-SCHLS-PROG-OPEN-3-YRS,NUM-SCHLS-PROG-OPEN-4-YRS,NUM-SCHLS-PROG-OPEN-5PLUS-YRS,MAT-PROG8-DESC,MAT-PROG8-SCORE,MAT-PROG8-CI-LOWER,MAT-PROG8-CI-UPPER,MAT-DIS-PROG8-DESC,MAT-DIS-PROG8-SCORE,MAT-DIS-PROG8-CI-LOWER,MAT-DIS-PROG8-CI-UPPER,MAT-EBACC-ENT,MAT-DIS-EBACC-ENT,MAT-EBACC-95,MAT-EBACC-94,MAT-DIS-EBACC-95,MAT-DIS-EBACC-94,SCHOOL-URNS
SP00172,2914,School sponsor,Diocese of London,North West London and South Central,7,1126,29.0,41.2,2.6,34.2,7,3,4,0,0,0,0,1,6,Significantly above average,0.53,0.46,0.61,Significantly above average,0.34,0.21,0.46,51.0%,41.4%,35.1%,37.5%,22.0%,25.6%,133386;134314;135507;135531;137546;138607;139989
SP00179,2919,School sponsor,Diocese of Oxford,North West London and South Central,3,375,26.8,36.5,2.9,23.7,3,0,3,0,0,0,0,0,3,Close to average,0.05,-0.08,0.18,Significantly above average,-0.1,-0.32,0.12,24.5%,17.5%,8.5%,9.9%,3.6%,3.6%,135675;135879;137280
SP00589,2935,School sponsor,Diverse Academies Trust,East Midlands and Humber,5,863,28.6,21.2,0.8,1.7,5,3,2,0,0,0,0,2,3,Significantly above average,0.1,0.02,0.18,Close to average,-0.38,-0.58,-0.19,22.4%,9.1%,15.3%,16.2%,4.8%,5.3%,137117;137159;137319;138964;139956
TR00671,2939,Multi-academy trust,Dixons Academies Charitable Trust Ltd,Lancashire and West Yorkshire,3,502,27.5,40.8,1,50.4,3,0,2,1,0,0,0,0,3,Significantly above average,0.53,0.43,0.64,Significantly above average,0.41,0.23,0.59,51.6%,42.0%,24.1%,26.3%,16.1%,17.6%,130909;135866;138251
TR00699,2974,Multi-academy trust,E-ACT,National Lead,11,1651,26.9,50.6,1.2,38.9,11,0,11,0,0,0,0,0,11,Significantly below average,-0.1,-0.16,-0.04,Close to average,-0.25,-0.34,-0.16,21.9%,15.6%,9.9%,11.0%,6.0%,6.6%,135907;135911;135934;135973;136032;136115;137706;137864;138073;138235;138374
TR00620,2840,Multi-academy trust,Eastern Multi-Academy Trust,East of England and North East London,3,545,27.8,24.4,1.8,14.5,3,0,3,0,0,0,1,1,1,Significantly below average,-0.5,-0.6,-0.39,Significantly below average,-1.02,-1.25,-0.8,24.6%,13.3%,9.2%,9.4%,2.3%,2.3%,136202;139204;141177
SP00220,3035,School sponsor,Emmanuel Schools Foundation,North,3,587,28.6,27.6,3.9,2.7,3,0,3,0,0,0,0,0,3,Significantly below average,-0.31,-0.41,-0.21,Significantly below average,-0.81,-1.02,-0.61,27.3%,17.9%,12.8%,14.7%,4.9%,7.4%,134223;135007;135619
TR00836,3155,Multi-academy trust,Fylde Coast Academy Trust,Lancashire and West Yorkshire,3,431,28.1,44.8,0.9,3,3,1,2,0,0,0,1,1,1,Significantly below average,-0.41,-0.52,-0.29,Significantly below average,-0.68,-0.87,-0.49,19.0%,10.6%,9.9%,10.9%,3.4%,4.2%,137973;139675;141132
TR00883,3211,Multi-academy trust,Grace Academy,West Midlands,3,359,28.0,41.5,1.1,12.5,3,0,3,0,0,0,0,0,3,Significantly below average,-0.16,-0.29,-0.03,Close to average,-0.22,-0.43,0,13.4%,9.4%,2.5%,2.5%,1.3%,1.3%,129342;135335;135956
TR00914,3252,Multi-academy trust,Greenwood Academies Trust,East Midlands and Humber,8,1445,27.1,42,1.5,27.9,8,0,8,0,0,0,0,2,6,Significantly below average,-0.43,-0.49,-0.36,Significantly below average,-0.61,-0.72,-0.5,55.4%,48.6%,12.7%,15.5%,6.4%,8.5%,135881;136217;136948;137184;137880;138569;139564;139957
