GROUP-ID,UID,GROUP-TYPE,GROUP-NAME,LEAD-RSC-NAME,NUM-SCHLS,NUM-PUPS,APS,PERC-DISADV,PERC-SEN,PERC-EAL,NUM-SCHLS-PROG-TOTAL,NUM-SCHLS-PROG-CONVTR,NUM-SCHLS-PROG-SPONSRD,NUM-SCHLS-PROG-FREE-UTC-STUD,NUM-SCHLS-PROG-OPEN-1-YRS,NUM-SCHLS-PROG-OPEN-2-YRS,NUM-SCHLS-PROG-OPEN-3-YRS,NUM-SCHLS-PROG-OPEN-4-YRS,NUM-SCHLS-PROG-OPEN-5PLUS-YRS,MAT-PROG-READ-DESC,MAT-PROG-READ-SCORE,MAT-PROG-READ-CI-LOWER,MAT-PROG-READ-CI-UPPER,MAT-DIS-PROG-READ-DESC,MAT-DIS-PROG-READ-SCORE,MAT-DIS-PROG-READ-CI-LOWER,MAT-DIS-PROG-READ-CI-UPPER,MAT-PROG-WRITE-DESC,MAT-PROG-WRITE-SCORE,MAT-PROG-WRITE-CI-LOWER,MAT-PROG-WRITE-CI-UPPER,MAT-DIS-PROG-WRITE-DESC,MAT-DIS-PROG-WRITE-SCORE,MAT-DIS-PROG-WRITE-CI-LOWER,MAT-DIS-PROG-WRITE-CI-UPPER,MAT-PROG-MATH-DESC,MAT-PROG-MATH-SCORE,MAT-PROG-MATH-CI-LOWER,MAT-PROG-MATH-CI-UPPER,MAT-DIS-PROG-MATH-DESC,MAT-DIS-PROG-MATH-SCORE,MAT-DIS-PROG-MATH-CI-LOWER,MAT-DIS-PROG-MATH-CI-UPPER,SCHOOL-URNS
TR00211,2328,Multi-academy trust,Bishop Cleary Catholic Multi Academy Company,West Midlands,3,72,15.4,38.9,1.4,36.1,3,3,0,0,0,0,0,3,0,Close to average,-0.3,-1.8,1.3,Close to average,-1.4,-3.9,1.2,Close to average,1.4,-0.1,2.9,Close to average,0.2,-2.3,2.8,Close to average,0.2,-1.2,1.5,Close to average,-1.8,-4.2,0.5,139892;139893;139894
TR00235,2354,Multi-academy trust,The Blessed Cyprian Tansi Catholic Academy Trust,East Midlands and Humber,5,113,15.6,22.1,0.9,17.7,5,5,0,0,0,0,0,0,5,Close to average,1,-0.2,2.2,Close to average,1.2,-1.4,3.8,Close to average,-0.1,-1.2,1.1,Close to average,0.1,-2.5,2.7,Close to average,0.2,-0.9,1.2,Close to average,0.5,-1.8,2.9,138294;138295;138296;138297;138299
TR00243,2365,Multi-academy trust,The Blyth Quays Trust,North,3,171,14.8,62,0,3.5,3,3,0,0,0,0,0,3,0,Significantly below average,-1.7,-2.6,-0.7,Close to average,-1.6,-2.8,-0.3,Significantly below average,-2.6,-3.5,-1.7,Significantly below average,-2.8,-4.1,-1.6,Significantly below average,-4.8,-5.6,-4,Significantly below average,-5.2,-6.3,-4,139743;139754;139756
TR00540,2741,Multi-academy trust,The Collaborative Academies Trust,North West London and South Central,8,277,14.8,39.4,0.7,26.4,8,0,8,0,0,0,3,5,0,Close to average,-0.7,-1.5,0.1,Close to average,-1.4,-2.6,-0.1,Close to average,0.4,-0.3,1.2,Close to average,-0.2,-1.4,1.1,Close to average,-0.5,-1.2,0.2,Close to average,-1.5,-2.7,-0.3,138493;138494;139385;139387;139388;140220;140408;141195
TR00567,2777,Multi-academy trust,The Co-operative Academies Trust,Lancashire and West Yorkshire,3,163,13.3,71.2,0,43.6,3,0,3,0,0,0,0,3,0,Close to average,0.2,-0.9,1.2,Close to average,-0.1,-1.3,1.2,Significantly above average,1.4,0.4,2.4,Significantly above average,1.6,0.3,2.8,Significantly above average,2.4,1.5,3.3,Significantly above average,1.7,0.6,2.9,138986;139015;139077
TR00655,2886,Multi-academy trust,The Diamond Learning Partnership Trust,East of England and North East London,3,50,15.5,38,2,12,3,1,2,0,0,0,2,1,0,Close to average,-0.8,-2.6,0.9,Close to average,-1.9,-4.8,1.1,Close to average,-1,-2.7,0.7,Close to average,0,-3,2.9,Close to average,0.7,-0.9,2.3,Close to average,-0.5,-3.3,2.2,139634;140386;140535
TR02264,4955,Multi-academy trust,The Diocese of Chelmsford Vine Schools Trust,East of England and North East London,5,226,16.2,31.9,0.9,0.4,5,1,4,0,0,0,5,0,0,Significantly below average,-0.8,-1.6,0,Close to average,-1.3,-2.8,0.3,Close to average,-0.3,-1.1,0.5,Close to average,-1.6,-3.2,-0.1,Close to average,-0.5,-1.2,0.2,Close to average,-1,-2.4,0.4,140181;140367;140506;140666;140844
TR00665,2928,Multi-academy trust,The Diocese of Westminster Academy Trust,North West London and South Central,5,151,17.2,6.6,0.7,14.6,5,5,0,0,0,0,0,0,5,Significantly above average,1.9,0.9,2.9,Close to average,3.4,-0.7,7.6,Significantly above average,2.3,1.3,3.3,Close to average,2.6,-1.4,6.7,Close to average,0.2,-0.7,1.1,Close to average,0.5,-3.3,4.2,138288;138292;138316;138322;138354
TR00674,2943,Multi-academy trust,The Dominic Barberi Multi Academy Company,West Midlands,6,174,15.9,20.1,4,27,6,6,0,0,0,0,0,6,0,Close to average,0.8,-0.1,1.8,Close to average,0.1,-2.1,2.3,Close to average,-0.5,-1.5,0.4,Close to average,-1.3,-3.5,0.9,Significantly above average,1.3,0.4,2.1,Close to average,-0.2,-2.2,1.9,139477;139480;139527;139529;139530;139532
TR00690,2963,Multi-academy trust,The Duchy Academy Trust,South West,3,67,15.1,31.3,1.5,3,3,3,0,0,0,0,3,0,0,Close to average,1.5,0,3,Significantly above average,2.5,-0.3,5.3,Significantly above average,3.8,2.4,5.3,Significantly above average,5.2,2.4,8,Significantly above average,3,1.7,4.4,Significantly above average,3,0.4,5.6,140576;140577;140582
